,accel_x,accel_y,accel_z
0,0.852417,-0.199585,0.476562
1,0.852539,-0.214844,0.459106
2,0.849854,-0.19458,0.494385
3,0.852661,-0.218872,0.462891
4,0.848511,-0.200195,0.455078
5,0.851318,-0.185059,0.488037
6,0.85376,-0.21582,0.44104
7,0.849365,-0.203247,0.463013
8,0.852783,-0.192261,0.475098
9,0.852905,-0.212646,0.469238
10,0.848145,-0.235352,0.491089
11,0.849121,-0.231934,0.455078
12,0.844482,-0.216064,0.405396
13,0.853882,-0.192505,0.478394
14,0.843262,-0.201416,0.416748
15,0.848511,-0.197388,0.469971
16,0.853271,-0.211304,0.467651
17,0.845459,-0.199829,0.475342
18,0.846802,-0.193848,0.4198
19,0.851318,-0.20874,0.481079
20,0.852539,-0.21106,0.477783
21,0.845947,-0.208252,0.481079
22,0.85144,-0.203857,0.469604
23,0.847778,-0.198975,0.480835
24,0.848389,-0.224365,0.468506
25,0.85083,-0.207397,0.501831
26,0.854126,-0.217041,0.483521
27,0.852905,-0.196777,0.437256
28,0.8479,-0.224487,0.490723
29,0.850464,-0.224609,0.450806
30,0.851074,-0.207275,0.444702
31,0.848389,-0.22644,0.473145
32,0.851807,-0.193726,0.475708
33,0.851807,-0.201782,0.482788
34,0.847412,-0.207886,0.456421
35,0.853271,-0.236938,0.485474
36,0.85437,-0.203735,0.475342
37,0.848022,-0.199707,0.467041
38,0.845825,-0.206421,0.443481
39,0.850708,-0.229004,0.470947
40,0.84375,-0.222412,0.484253
41,0.847168,-0.19812,0.459351
42,0.846924,-0.205811,0.500732
43,0.846069,-0.21582,0.485107
44,0.841797,-0.196777,0.467407
45,0.848877,-0.195679,0.464722
46,0.847168,-0.197754,0.480347
47,0.845337,-0.229248,0.461548
48,0.838257,-0.201294,0.467651
49,0.842041,-0.206787,0.492554
50,0.845703,-0.214844,0.480347
