,accel_x,accel_y,accel_z
0,-0.118652,0.703369,0.80603
1,0.050415,0.464111,0.685059
2,0.110107,0.415283,0.799438
3,0.158325,0.231323,0.641968
4,0.108643,0.502075,0.781006
5,-0.135986,0.814697,0.874756
6,-0.239136,1.087646,0.984009
7,-0.151855,0.779053,0.860962
8,0.095581,0.415161,0.637939
9,0.118286,0.333984,0.904785
10,0.192627,0.23584,0.49939
11,0.054077,0.451294,0.940674
12,-0.078003,0.579346,0.804565
13,-0.238525,0.844482,0.891846
14,-0.244873,0.876709,0.900024
15,0.016113,0.464233,0.79187
16,0.075806,0.532471,0.771851
17,0.235718,0.378906,0.786011
18,0.151245,0.239624,0.649414
19,0.050415,0.450806,0.837646
20,-0.100464,0.539062,0.769165
21,-0.35144,0.776489,1.136963
22,-0.122192,0.631836,0.768311
23,0.074097,0.453979,0.69165
24,0.11377,0.318115,0.941772
25,0.180054,0.152954,0.558105
26,0.12915,0.347534,0.756226
27,-0.092041,0.50769,0.842163
28,-0.284912,0.850464,1.194336
29,-0.174072,0.851074,0.917114
30,0.093628,0.40625,0.704224
31,0.226562,0.388672,0.731079
32,0.260498,0.032837,0.626831
33,0.172363,0.497559,0.760986
34,-0.003418,0.569214,0.788696
35,-0.216797,0.962891,1.011597
36,-0.114502,0.758667,0.879517
37,0.089111,0.499878,0.711426
38,0.328735,0.350098,0.553345
39,0.213501,0.161499,0.560913
40,0.167114,0.392578,0.77417
41,-0.061401,0.662476,0.841919
42,-0.223633,0.898315,1.040161
43,-0.112427,0.671875,0.90332
44,0.057739,0.545044,0.75
45,0.199219,0.440186,0.730347
46,0.246826,0.087036,0.535522
47,0.089966,0.493042,0.904785
48,0.022339,0.547607,0.588867
49,-0.202637,0.868408,0.792114
50,-0.166748,0.877441,0.904663
51,0.075562,0.398071,0.631592
52,0.206787,0.385742,0.756836
53,0.246094,0.122437,0.430542
54,0.145386,0.268555,0.720703
55,-0.044067,0.710571,0.973999
56,-0.174316,0.899048,0.897339
57,-0.195312,1.027222,0.959961
58,0.091797,0.420166,0.612793
59,0.203857,0.544434,0.630127
60,0.210571,0.306763,0.663208
61,0.173096,0.311035,0.666504
62,0.043335,0.574951,0.900513
63,-0.100098,0.690674,0.753662
64,-0.244141,1.084595,1.095947
65,0.024902,0.572021,0.711914
66,0.254272,0.314941,0.572998
67,0.187988,0.179443,0.573975
68,0.141846,0.460205,0.860718
69,-0.016724,0.642334,0.731323
70,-0.217529,0.986694,0.977905
71,-0.230103,0.956665,1.014893
72,0.071411,0.562744,0.621338
73,0.172607,0.397095,0.755859
74,0.248047,0.104858,0.496094
75,0.149048,0.43811,0.709839
76,-0.063721,0.726318,0.618774
77,-0.26709,0.986694,0.952393
78,-0.166016,0.879883,0.785889
79,0.046997,0.525757,0.666626
80,0.180298,0.446655,0.70459
81,0.23291,0.10144,0.422607
82,0.151123,0.369141,0.707275
83,-0.041382,0.570312,0.725098
84,-0.221313,0.90271,0.903687
85,-0.258057,0.986084,0.937866
86,0.009033,0.616821,0.634277
87,0.146729,0.567139,0.746948
88,0.208496,0.278076,0.680054
89,0.187744,0.305786,0.662354
90,0.022827,0.684692,0.703735
91,-0.164062,0.775635,0.785156
92,-0.26355,0.958862,1.082764
93,-0.02063,0.665405,0.707642
94,0.12793,0.425781,0.714478
95,0.198608,0.378784,0.596069
96,0.185425,0.305786,0.683105
97,0.010376,0.619751,1.020996
98,-0.115234,0.743286,0.985718
99,-0.116821,0.749512,0.788818
100,-0.043701,0.67749,0.785034
101,0.161987,0.369019,0.63855
102,0.286133,0.175293,0.698242
103,0.190796,0.332153,0.647339
104,0.149292,0.494507,0.642334
105,0.000977,0.770752,0.694824
106,-0.137329,0.98645,0.987061
107,0.081177,0.509521,0.791992
108,0.190796,0.369873,0.666626
109,0.269165,0.327759,0.673706
110,0.214355,0.421509,0.623657
111,0.090088,0.657227,0.796265
112,-0.085083,0.722534,0.767822
113,-0.21228,0.979492,1.060791
114,0.027466,0.61792,0.776245
115,0.267456,0.465698,0.493408
116,0.239868,0.217896,0.571533
117,0.23584,0.340332,0.718872
118,0.055542,0.589478,0.759277
119,-0.192871,0.793701,0.873291
120,-0.204102,0.990234,1.054688
121,0.048584,0.555298,0.723755
