,accel_x,accel_y,accel_z
0,0.192505,-0.180054,-0.628662
1,-0.166504,-0.115967,-1.052856
2,-0.328369,0.503906,-1.17749
3,-0.241821,0.788452,-0.935913
4,0.10083,0.584839,-0.708252
5,0.249146,0.288696,-0.664185
6,0.216309,-0.208496,-0.809204
7,-0.120605,0.111328,-0.952393
8,-0.27832,0.372437,-0.989502
9,-0.489746,0.922241,-1.208374
10,-0.025146,0.809448,-0.651245
11,0.1698,0.445923,-0.792725
12,0.291748,0.05835,-0.446289
13,0.008545,-0.215942,-1.060547
14,-0.395264,0.297119,-1.374878
15,-0.3927,0.609497,-1.13855
16,-0.148926,0.70813,-0.901367
17,0.139526,0.551636,-0.785767
18,0.235962,0.187256,-0.737183
19,0.161255,-0.221069,-0.730103
20,-0.283569,0.072144,-1.252563
21,-0.4729,0.596436,-1.200439
22,-0.32312,0.862793,-1.061279
23,0.052979,0.5802,-0.685791
24,0.223145,0.365234,-0.49231
25,0.144531,-0.19397,-0.768433
26,-0.13501,0.208862,-1.141357
27,-0.433228,0.493286,-1.249146
28,-0.422729,0.920044,-1.048584
29,-0.035767,0.705811,-0.735962
30,0.151367,0.497437,-0.720947
31,0.324707,0.041992,-0.550537
32,0.025513,-0.162964,-0.911011
33,-0.285645,0.207031,-1.124268
34,-0.366943,0.547363,-1.165283
35,-0.215698,0.802368,-0.902954
36,0.050293,0.556396,-0.70752
37,0.241089,0.213989,-0.584717
38,0.216553,-0.140869,-0.800659
39,-0.204712,0.070557,-1.294434
40,-0.411499,0.578125,-1.228027
41,-0.34729,0.747681,-1.143433
42,-0.003174,0.633789,-0.689575
43,0.253296,0.425293,-0.577515
44,0.234253,0.083862,-0.686279
45,0.042236,0.047607,-1.003296
46,-0.245728,0.341309,-1.012451
47,-0.384277,0.627075,-1.01062
48,-0.246704,0.894775,-0.908691
49,0.07959,0.565674,-0.721069
50,0.240601,0.23645,-0.524292
