,accel_x,accel_y,accel_z
0,0.801025,0.565186,0.172119
1,0.804443,0.543091,0.163574
2,0.803833,0.558228,0.178833
3,0.791382,0.538696,0.162964
4,0.802124,0.549316,0.161987
5,0.796143,0.555298,0.149414
6,0.803711,0.564331,0.167969
7,0.803711,0.542603,0.160278
8,0.806274,0.564209,0.181396
9,0.795532,0.550781,0.159424
10,0.803101,0.552368,0.166504
11,0.805054,0.547607,0.164185
12,0.793945,0.561035,0.166382
13,0.800781,0.553101,0.174805
14,0.803589,0.532715,0.143799
15,0.797974,0.541016,0.164673
16,0.805298,0.553833,0.163696
17,0.798096,0.543823,0.155273
18,0.79126,0.541138,0.137207
19,0.802734,0.538696,0.167114
20,0.800049,0.546753,0.166016
21,0.800049,0.543945,0.152832
22,0.809326,0.556396,0.172119
23,0.806152,0.572388,0.163208
24,0.801025,0.540039,0.154175
25,0.806885,0.54248,0.18103
26,0.805176,0.536133,0.166748
27,0.796631,0.543213,0.146973
28,0.80249,0.539795,0.163452
29,0.802368,0.526978,0.181519
30,0.803223,0.566284,0.153564
31,0.807983,0.512817,0.171753
32,0.802856,0.557007,0.151001
33,0.798462,0.545044,0.157715
34,0.793701,0.553711,0.165894
35,0.804688,0.55481,0.160889
36,0.793091,0.533081,0.137817
37,0.803955,0.546631,0.148438
38,0.797974,0.557983,0.153687
39,0.798218,0.544556,0.156494
40,0.800049,0.590088,0.160156
41,0.795288,0.551758,0.156494
42,0.799194,0.570679,0.161255
43,0.801758,0.56897,0.143555
44,0.796631,0.56543,0.159058
45,0.799438,0.545776,0.17041
46,0.801025,0.551392,0.144165
47,0.805786,0.552979,0.187622
48,0.796753,0.557251,0.149292
49,0.80127,0.561768,0.197266
