,accel_x,accel_y,accel_z
0,-0.21875,-0.940674,-0.750122
1,-0.338745,-1.140503,-0.46106
2,-0.159058,-1.079224,-0.119019
3,0.0802,-0.809082,-0.085693
4,0.224731,-0.560181,-0.252563
5,0.14563,-0.609253,-0.614746
6,-0.076904,-0.859619,-0.78833
7,-0.322388,-1.126953,-0.61438
8,-0.347778,-1.158325,-0.419189
9,-0.127075,-1.052368,-0.20459
10,0.085449,-0.767212,-0.068726
11,0.250732,-0.397827,-0.46228
12,0.009766,-0.733887,-0.797729
13,-0.178711,-0.877319,-0.872559
14,-0.384521,-1.319214,-0.522827
15,-0.166016,-0.996338,-0.319336
16,0.103882,-0.837891,-0.257935
17,0.195068,-0.603394,-0.395508
18,0.061035,-0.603394,-0.866211
19,-0.112183,-0.734131,-0.914551
20,-0.313232,-1.088501,-0.65564
21,-0.185669,-0.951172,-0.384033
22,0.007568,-0.929199,-0.379761
23,0.189087,-0.686523,-0.256836
24,0.261353,-0.616943,-0.434326
25,0.103149,-0.497681,-0.816528
26,-0.126831,-0.748291,-0.865845
27,-0.358765,-0.949341,-0.695435
28,-0.383423,-1.179565,-0.508301
29,-0.063354,-0.935303,-0.222778
30,0.147949,-0.703735,-0.22229
31,0.198853,-0.447754,-0.543213
32,0.069092,-0.453369,-0.944946
33,-0.145752,-0.619141,-0.893311
34,-0.37207,-0.890137,-0.756836
35,-0.368042,-1.096436,-0.562256
36,-0.110474,-0.972534,-0.439697
37,0.108887,-0.674683,-0.355591
38,0.247192,-0.342163,-0.644409
39,0.120117,-0.354126,-0.859131
40,-0.180908,-0.622681,-1.054321
41,-0.35376,-0.834473,-0.838989
42,-0.321655,-0.995361,-0.670044
43,-0.023682,-0.767578,-0.432983
44,0.126099,-0.587036,-0.538452
45,0.27478,-0.410767,-0.566895
46,0.088989,-0.345093,-0.95813
47,-0.11084,-0.437744,-1.023438
48,-0.329102,-0.765869,-0.890015
49,-0.351074,-0.994141,-0.758179
50,-0.106079,-0.870605,-0.419678
51,0.071167,-0.663208,-0.320312
52,0.194946,-0.432739,-0.456177
53,0.159302,-0.287964,-0.868774
54,-0.043579,-0.578491,-0.957153
55,-0.286377,-0.712158,-0.916016
56,-0.395874,-0.97876,-0.782593
57,-0.247559,-0.969604,-0.598022
58,0.012939,-0.773193,-0.435181
59,0.16626,-0.570923,-0.420776
60,0.203613,-0.267944,-0.833252
61,-0.039185,-0.42041,-0.939697
62,-0.315674,-0.776001,-0.97168
63,-0.448242,-0.996216,-0.774536
64,-0.177612,-0.902588,-0.466187
65,0.053223,-0.762817,-0.447632
66,0.213135,-0.526245,-0.481812
67,0.123169,-0.390869,-0.799683
68,-0.031616,-0.513306,-0.957764
69,-0.223999,-0.539551,-0.863403
70,-0.384399,-0.742188,-0.841675
71,-0.401001,-0.963135,-0.724854
72,-0.14209,-0.810303,-0.514771
73,0.08252,-0.63269,-0.457397
74,0.173218,-0.539185,-0.59314
75,0.142944,-0.323364,-0.861694
76,-0.029297,-0.437866,-1.02124
77,-0.349976,-0.914062,-0.973633
78,-0.440063,-0.956543,-0.796631
79,-0.220337,-0.879028,-0.638916
80,0.002197,-0.745605,-0.521729
81,0.149536,-0.567993,-0.576904
82,0.198608,-0.239502,-0.787598
83,-0.004761,-0.318237,-0.996338
84,-0.319092,-0.556885,-1.024902
85,-0.428467,-0.784424,-0.819214
86,-0.3396,-0.873779,-0.670654
87,-0.130615,-0.794556,-0.549438
88,0.089966,-0.552002,-0.472534
89,0.211182,-0.407471,-0.57251
90,0.110596,-0.241089,-0.863159
91,-0.219604,-0.497803,-1.140869
92,-0.380127,-0.746948,-0.968262
93,-0.463623,-0.931641,-0.806396
94,-0.189209,-0.724121,-0.599487
95,0.027222,-0.750366,-0.568115
96,0.2146,-0.51355,-0.566406
97,0.184082,-0.293091,-0.797974
98,-0.010986,-0.465698,-1.042358
99,-0.19812,-0.544067,-0.953369
100,-0.372437,-0.838745,-0.901123
101,-0.240479,-0.758179,-0.721069
102,-0.084717,-0.825806,-0.60791
103,0.052368,-0.736572,-0.560669
104,0.21814,-0.333984,-0.592285
105,0.055176,-0.233276,-0.991455
106,-0.161255,-0.281128,-1.049683
107,-0.380981,-0.637085,-0.994263
108,-0.389404,-0.665527,-0.864868
109,-0.245361,-0.825439,-0.756104
