,accel_x,accel_y,accel_z
0,-0.057617,-0.062256,0.992432
1,-0.055664,-0.069458,0.962891
2,-0.059082,-0.082397,0.967041
3,-0.065918,-0.048706,0.999146
4,-0.048462,-0.026978,0.963135
5,-0.062866,-0.045898,0.994751
6,-0.052612,-0.049683,0.960938
7,-0.065674,-0.03894,0.982666
8,-0.055786,-0.030396,0.960449
9,-0.056396,-0.049438,0.964844
10,-0.060547,-0.041748,0.981079
11,-0.072021,-0.050049,0.981934
12,-0.06897,-0.040894,0.980835
13,-0.076538,-0.043579,0.990479
14,-0.072876,-0.053345,0.985107
15,-0.078857,-0.038208,0.973999
16,-0.080688,-0.035889,0.978394
17,-0.082886,-0.061279,0.98645
18,-0.082886,-0.057373,1.000488
19,-0.074951,-0.062134,0.969482
20,-0.081909,-0.029419,0.977783
21,-0.067627,-0.036987,0.981567
22,-0.072021,-0.055908,0.9823
23,-0.070923,-0.038208,0.997803
24,-0.065796,-0.061768,0.975586
25,-0.080444,-0.065674,0.994629
26,-0.060181,-0.078003,0.967041
27,-0.067017,-0.075806,0.973633
28,-0.063232,-0.056274,0.969482
29,-0.077759,-0.057007,0.992798
30,-0.060059,-0.037842,0.973877
31,-0.065674,-0.07019,0.952026
32,-0.072754,-0.072876,0.983887
33,-0.075195,-0.070435,0.968018
34,-0.076416,-0.068115,0.97644
35,-0.059082,-0.040527,0.980835
36,-0.078003,-0.051392,0.984009
37,-0.079102,-0.090454,0.979004
38,-0.07019,-0.085571,0.978027
39,-0.075439,-0.066406,0.969971
40,-0.079834,-0.071533,0.984375
41,-0.097168,-0.067505,0.985107
42,-0.070679,-0.054321,0.962402
43,-0.071533,-0.057983,0.959961
44,-0.074341,-0.091675,0.962402
45,-0.083374,-0.087158,0.983398
46,-0.084595,-0.091187,0.984863
47,-0.085571,-0.088623,0.971558
48,-0.078979,-0.102539,0.966553
49,-0.087891,-0.09082,0.9823
50,-0.086548,-0.083618,0.978149
51,-0.089355,-0.093872,0.981079
52,-0.091064,-0.088745,0.981201
53,-0.078003,-0.082397,0.968872
54,-0.094482,-0.088745,0.982178
