,accel_x,accel_y,accel_z
0,0.410034,0.0802,0.888428
1,0.271118,0.090332,1.101929
2,0.187134,0.035522,1.479492
3,0.290649,0.029663,0.980713
4,0.400513,0.061646,0.864746
5,0.477295,0.135254,0.668701
6,0.459839,0.085327,0.614258
7,0.404541,0.097534,0.822876
8,0.240845,0.056885,1.074219
9,0.140137,-0.017578,1.427734
10,0.238525,-0.008911,1.023438
11,0.413452,0.018799,0.702515
12,0.473877,0.054932,0.616211
13,0.456543,-0.022583,0.528442
14,0.439087,0.077515,0.82605
15,0.216675,-0.020874,1.06311
16,0.161133,-0.020874,1.22229
17,0.243896,0.049194,1.056519
18,0.361572,-0.049561,0.773315
19,0.457764,0.047852,0.63208
20,0.448242,0.030884,0.491333
21,0.328857,0.180054,1.005859
22,0.186646,0.015869,1.065918
23,0.064331,0.03186,1.48645
24,0.180542,-0.050659,1.020508
25,0.359741,-0.003418,0.736572
26,0.447632,0.052734,0.605103
27,0.418579,-0.002563,0.666138
28,0.324219,-0.026855,0.931396
29,0.142456,-0.012451,1.174561
30,0.101685,0.040771,1.42334
31,0.22522,0.018677,0.978882
32,0.371582,0.064941,0.708862
33,0.403076,0.072876,0.493774
34,0.414185,0.025024,0.670288
35,0.324097,0.046875,0.974243
36,0.210693,0.015015,0.943115
37,0.129395,-0.040161,1.348511
38,0.30896,-0.017578,0.88147
39,0.432007,0.00293,0.653198
40,0.480469,0.067139,0.428711
41,0.421631,-0.053223,0.657104
42,0.259033,0.205566,1.044678
43,0.07666,0.015991,1.319702
44,0.128418,0.043091,1.270386
45,0.303833,0.076172,0.856689
46,0.435181,0.124268,0.674072
47,0.417969,0.090332,0.508301
48,0.346436,0.08374,0.809814
49,0.172485,0.002563,1.002441
50,0.05957,0.033691,1.491821
51,0.179688,0.000732,1.068726
52,0.356445,0.072998,0.819946
53,0.432983,0.03125,0.594116
54,0.421753,0.005981,0.605103
55,0.305176,0.013062,0.901733
56,0.135864,-0.018799,1.043945
57,0.026489,0.001099,1.484131
58,0.17688,0.089478,1.028931
59,0.363403,0.062012,0.701172
60,0.418091,0.045166,0.572632
61,0.397217,0.061646,0.807739
62,0.276245,0.03772,0.895752
63,0.113159,0.083374,1.164673
64,0.037598,0.045288,1.351074
65,0.195923,-0.000977,0.990356
66,0.380981,0.091919,0.780762
67,0.371704,0.003906,0.539917
68,0.36084,0.003418,0.735718
69,0.262817,0.02063,0.95166
70,0.082275,-0.022583,1.192871
71,0.041992,-0.047119,1.297729
72,0.21582,-0.042358,0.942627
73,0.387085,0.078247,0.781982
74,0.447388,0.006348,0.462769
75,0.376831,0.007446,0.638794
76,0.272461,-0.005127,0.996094
77,0.119873,0.004883,1.294312
78,0.127197,0.034912,1.268433
79,0.269775,0.09314,0.95874
80,0.394775,0.005859,0.746826
81,0.394653,0.005371,0.441284
82,0.358643,0.078369,0.725708
83,0.249512,0.012085,1.048218
84,0.110596,-0.0802,1.195557
85,0.120728,-0.112793,1.265015
86,0.292603,0.029175,0.881592
87,0.432983,0.056396,0.705688
88,0.412231,0.013184,0.514648
89,0.360718,0.00354,0.699341
90,0.203003,0.044189,0.851929
91,0.056885,-0.011841,1.337646
92,0.096436,-0.030762,1.112427
93,0.285889,-0.023315,0.759766
94,0.440308,0.002441,0.674316
95,0.430054,-0.013672,0.486572
96,0.323242,-0.081055,0.82251
97,0.221802,0.02356,0.84668
98,0.070557,-0.008301,1.446777
99,0.176147,-0.002441,1.047852
100,0.333008,-0.054932,0.713623
101,0.415405,0.036255,0.707397
102,0.399292,-0.042603,0.579956
103,0.324707,0.067749,0.925415
104,0.115845,0.015747,1.147583
105,0.010742,-0.00354,1.467896
106,0.164551,0.082886,1.049194
107,0.358643,0.089844,0.80542
108,0.413696,0.127686,0.523315
109,0.36792,-0.02478,0.673706
110,0.314453,0.193115,0.963135
111,0.06604,0.037842,1.278198
112,0.096802,0.099121,1.330322
113,0.247681,-0.022339,0.837402
114,0.40979,0.012695,0.696533
115,0.423584,0.039795,0.498657
116,0.38562,0.148315,0.72937
117,0.208862,0.080688,1.133179
118,0.046021,0.115356,1.334961
119,0.095215,0.059082,1.173096
120,0.303833,-0.000977,0.765625
121,0.464355,0.079834,0.572266
122,0.437744,-0.022583,0.520508
123,0.399048,0.021851,0.805908
124,0.250244,0.046143,1.053101
125,0.127686,-0.033936,1.307739
126,0.154907,0.030396,1.165405
127,0.371216,-0.014404,0.629272
128,0.480103,0.086426,0.695435
129,0.449829,0.042725,0.425537
130,0.319824,-0.021851,1.056396
131,0.133423,-0.11084,1.021973
132,0.088379,-0.036621,1.488647
133,0.224243,0.024048,0.94812
134,0.421875,-0.006592,0.77832
135,0.488037,0.082275,0.598633
136,0.440674,0.038208,0.60376
137,0.328491,0.117676,0.956055
138,0.103638,-0.008789,1.248291
139,0.058594,-0.02124,1.464355
140,0.239868,0.095703,0.881104
141,0.39978,0.070679,0.772827
142,0.458374,0.114624,0.430298
143,0.408569,0.104858,0.750732
144,0.277466,0.166504,0.990601
145,0.079346,-0.018066,1.126465
146,0.071045,0.076904,1.444336
147,0.263306,0.014282,0.847168
148,0.463501,0.013306,0.612183
149,0.444824,0.090454,0.438599
150,0.380493,-0.069946,0.69812
151,0.24292,0.052246,0.93689
152,0.08252,-0.07605,1.235596
153,0.087524,0.022461,1.309448
154,0.296143,0.000244,0.81189
155,0.435303,0.105225,0.670166
156,0.411743,0.072021,0.708984
157,0.341919,-0.018799,0.855103
158,0.166626,-0.017578,1.024902
159,0.049683,-0.053223,1.48877
160,0.178711,-0.056763,0.991211
161,0.373413,0.039795,0.784668
162,0.433838,0.075684,0.501221
163,0.400879,-0.088379,0.718018
164,0.358276,0.032837,0.959229
165,0.134399,0.006104,1.16748
166,0.095703,0.114868,1.538574
167,0.248169,-0.025513,0.85083
168,0.438965,0.062744,0.760254
169,0.443237,0.080322,0.322876
170,0.426147,0.024048,0.73291
171,0.261841,0.108643,0.878662
172,0.047852,0.015381,1.299683
173,0.057617,0.12085,1.379517
174,0.230347,-0.037109,0.796265
175,0.443359,0.073242,0.733032
176,0.467651,0.202271,0.426636
177,0.408447,0.141846,0.852539
178,0.312744,0.145264,1.065063
179,0.170044,-0.032227,1.0802
180,0.079468,0.017334,1.489624
181,0.279907,0.055908,0.891113
182,0.419922,0.015137,0.661621
183,0.418335,-0.056763,0.659668
184,0.352783,0.098633,0.75415
185,0.242432,0.066772,1.105225
186,0.078003,-0.027466,1.205933
187,0.094971,0.074463,1.345093
188,0.232666,0.009644,0.871338
189,0.404175,0.070801,0.780029
190,0.429077,0.089844,0.494629
191,0.344116,-0.00061,0.747559
192,0.258179,0.064087,0.909546
193,0.118896,0.059082,1.018799
194,-0.034668,0.047485,1.478638
195,0.158325,0.023315,0.957764
196,0.345215,-0.04895,0.859009
197,0.398438,0.036255,0.518311
198,0.320679,-0.0177,0.658569
199,0.231567,0.011719,1.06311
200,0.06665,-0.048462,1.149902
201,-0.013428,0.001953,1.376831
202,0.180542,0.08313,0.907593
203,0.38147,0.129517,0.760742
204,0.386597,0.100342,0.543091
205,0.352905,0.069702,0.75769
206,0.216064,0.056396,0.999023
207,0.085693,0.077271,1.065552
208,-0.033203,0.03833,1.499023
209,0.186646,0.010376,0.911621
210,0.390503,0.090576,0.738403
211,0.409424,0.094482,0.389893
212,0.376221,0.107544,0.748779
213,0.209229,-0.050415,0.952759
214,0.015503,-0.019775,1.237183
215,0.008545,0.00708,1.379761
216,0.196289,0.005615,0.932617
217,0.381104,-0.00061,0.693115
218,0.432373,0.119507,0.453735
219,0.336792,0.057861,0.779541
220,0.175171,0.130005,0.899658
221,-0.009644,0.024536,1.278809
222,0.020142,0.086548,1.241943
223,0.196533,0.089722,1.003906
224,0.331421,0.035645,0.709839
225,0.424316,0.112061,0.557007
226,0.358276,0.053467,0.689331
227,0.257446,0.138916,0.947754
228,0.112549,-0.018188,0.991821
229,0.025513,0.059448,1.523438
230,0.185791,-0.029907,0.89624
231,0.371338,0.088501,0.7771
232,0.364502,0.07605,0.530151
233,0.303467,0.078735,0.884521
234,0.166016,-0.006104,1.091797
235,0.03418,0.010864,1.355347
236,0.092163,-0.028076,1.160278
237,0.294556,-0.025513,0.751587
238,0.448486,0.142578,0.767334
239,0.418335,0.120728,0.528198
240,0.27063,0.157471,1.113159
241,0.183594,-0.023193,0.969971
242,0.02832,-0.047974,1.028564
243,0.0,0.05603,1.433716
244,0.168335,0.000244,0.910522
245,0.334473,0.068237,0.744873
246,0.355957,0.010376,0.596436
247,0.273926,0.077515,0.915894
248,0.16687,-0.008179,1.086914
249,-0.017456,-0.028442,1.210449
250,-0.040894,0.015747,1.248901
251,0.144531,-0.030029,0.998047
252,0.30249,-0.010742,0.76123
253,0.404541,0.090576,0.483276
254,0.32959,0.062744,0.799072
255,0.236816,0.088257,0.891724
256,0.044678,-0.005371,1.15686
257,-0.095215,0.007446,1.59082
258,0.120728,0.023438,0.921387
259,0.334473,0.078613,0.790894
260,0.44812,0.112183,0.537231
261,0.341064,0.022705,0.614868
262,0.2229,-0.022461,1.053589
263,0.126831,0.063477,1.09082
264,-0.013428,-0.212158,1.335815
265,0.152344,0.08728,1.163696
266,0.237061,-0.020996,0.879517
267,0.407471,-0.011841,0.791748
268,0.384888,0.026489,0.587891
269,0.354614,-0.005249,0.798462
270,0.196777,-0.02002,0.934692
271,0.005127,-0.053955,1.274902
272,-0.007324,0.023193,1.4375
273,0.217896,-0.091797,0.765869
274,0.371948,-0.043457,0.688232
275,0.420532,0.126831,0.467896
276,0.277832,-0.108032,0.709351
277,0.125122,0.115723,1.231445
278,-0.028564,-0.057617,1.192627
279,-0.033569,-0.01123,1.352295
280,0.19873,-0.043823,0.798584
281,0.392212,0.025513,0.7229
282,0.366699,0.006226,0.546509
283,0.299316,-0.052734,0.78833
284,0.191284,0.060303,0.971191
285,0.017822,0.067261,1.02478
286,-0.001709,0.009399,1.428345
287,0.20459,-0.03479,0.795776
288,0.370972,-0.102417,0.696655
289,0.378052,-0.002808,0.403564
290,0.311279,-0.12085,0.654541
291,0.165283,-0.003784,0.952637
292,-0.145386,-0.165527,1.595825
293,0.056763,-0.030884,1.024902
294,0.311646,0.072632,0.813232
295,0.423096,0.107056,0.525024
296,0.343384,0.087769,0.702637
297,0.218506,-0.047119,1.046509
298,0.106689,-0.0625,1.046265
299,-0.110229,-0.097168,1.36377
