,accel_x,accel_y,accel_z
0,-0.17395,-0.358276,1.373169
1,-0.270874,-0.008301,1.41272
2,0.051758,0.231567,0.792358
3,0.202271,0.139893,0.594727
4,0.05957,-0.246948,0.78479
5,-0.146973,-0.653076,1.133423
6,-0.312378,-0.188477,1.404785
7,-0.182007,0.110718,1.144531
8,0.136719,0.072144,0.779541
9,0.155273,-0.087891,0.573608
10,0.003296,-0.501709,0.852661
11,-0.224854,-0.546631,1.066406
12,-0.34375,-0.216064,1.385498
13,-0.05835,0.23877,1.148071
14,0.176758,0.168945,0.693481
15,0.05542,-0.451782,0.675903
16,-0.089722,-0.264771,1.047729
17,-0.367798,-0.487305,1.380493
18,-0.323608,0.165894,1.341797
19,0.086426,0.199463,0.774536
20,0.114258,-0.032471,0.61438
21,-0.066284,-0.590576,0.692017
22,-0.144043,-0.41687,1.206299
23,-0.424072,-0.152588,1.400513
24,-0.087158,0.343506,1.157471
25,0.154907,0.172974,0.773071
26,0.105591,-0.210205,0.524292
27,-0.128662,-0.627319,0.906982
28,-0.328979,-0.296997,1.365601
29,-0.32373,0.139771,1.293701
30,0.050049,0.240601,0.832031
31,0.141968,-0.030518,0.53894
32,-0.052124,-0.602783,0.76709
33,-0.2323,-0.501099,1.283569
34,-0.278687,-0.126343,1.139648
35,-0.006226,0.161865,0.852661
36,0.170776,0.055176,0.582031
37,0.106812,-0.38916,0.534424
38,-0.112183,-0.496094,0.879761
39,-0.299561,-0.260498,1.175049
40,-0.23584,0.084229,1.234253
41,0.089966,0.247559,0.789185
42,0.205566,0.136108,0.484619
43,0.06897,-0.423828,0.744507
44,-0.211426,-0.461548,1.094849
45,-0.295044,-0.129395,1.323364
46,-0.195557,0.118286,1.115112
47,0.088745,0.24707,0.900879
48,0.124756,-0.12439,0.599731
49,0.009033,-0.552734,0.903809
50,-0.19812,-0.644897,1.04895
51,-0.251709,-0.182617,1.138794
52,-0.059937,0.190918,1.074585
53,0.126953,0.26709,0.730103
54,0.109253,-0.343994,0.550903
55,-0.051758,-0.492065,1.071045
56,-0.291382,-0.54541,1.193726
57,-0.329712,0.001953,1.405518
58,0.033691,0.188721,0.781738
59,0.15918,0.125366,0.550659
60,0.037109,-0.511108,0.573975
61,-0.128296,-0.513306,1.026855
62,-0.328491,-0.287842,1.235596
63,-0.270142,0.199951,1.251953
64,0.099731,0.249878,0.69519
65,0.132446,-0.042725,0.487305
66,-0.041992,-0.366333,0.959106
67,-0.260132,-0.465332,1.260132
68,-0.326416,-0.08606,1.332764
69,-0.197144,0.22644,1.220215
70,0.087769,0.13147,0.75
71,0.13916,-0.149658,0.484985
72,-0.125122,-0.646118,0.800659
73,-0.317017,-0.555176,1.254395
74,-0.319336,0.15271,1.408203
75,0.058105,0.334229,0.680298
76,0.117065,-0.047729,0.598999
77,0.009277,-0.48877,0.668457
78,-0.120605,-0.526245,1.00354
79,-0.332764,-0.25769,1.307373
80,-0.238647,0.116577,1.223877
81,0.116211,0.1521,0.670288
82,0.115601,-0.025513,0.59314
83,0.018799,-0.522461,0.81189
84,-0.156982,-0.588379,0.998779
85,-0.366943,-0.10791,1.349731
86,-0.154053,0.138916,1.072144
87,0.118408,0.195679,0.769165
88,0.098877,-0.193848,0.676758
89,-0.029541,-0.5271,0.787354
90,-0.31897,-0.670898,1.247803
91,-0.37561,-0.124634,1.349121
92,-0.016846,0.164795,0.880737
93,0.153687,-0.019287,0.492798
94,-0.013916,-0.501465,0.571899
95,-0.150513,-0.696777,0.969971
96,-0.347534,-0.310425,1.43042
97,-0.169434,0.109619,1.096436
98,0.094116,0.266602,0.757935
99,0.123291,-0.240845,0.609863
100,-0.016724,-0.571533,0.980591
101,-0.215576,-0.378418,1.202637
102,-0.333618,-0.215576,1.253662
103,-0.09314,0.355225,1.037354
104,0.102173,0.175781,0.700073
105,0.110474,-0.30127,0.545288
106,-0.078979,-0.598267,1.00061
107,-0.274536,-0.408081,1.375122
108,-0.255371,-0.080566,1.135376
109,-0.044067,0.225342,1.033569
110,0.157104,0.155762,0.68335
111,0.100098,-0.262451,0.709351
112,0.004517,-0.498901,0.921997
113,-0.211792,-0.378052,1.282837
114,-0.264404,-0.099609,1.25354
115,-0.040771,0.126953,0.912231
116,0.154419,0.093506,0.667969
117,0.122559,-0.264282,0.588379
118,-0.058472,-0.623169,0.828613
119,-0.238281,-0.461914,1.267334
120,-0.245972,-0.01123,1.282837
121,0.047241,0.325439,0.996582
122,0.147095,0.108032,0.618652
123,0.07019,-0.350586,0.600342
124,-0.008179,-0.445068,0.93689
125,-0.229858,-0.452759,1.335327
126,-0.26709,-0.046265,1.310791
127,0.014771,0.154053,0.849243
128,0.178223,0.026978,0.406616
129,0.128662,-0.263428,0.666016
130,-0.003784,-0.426514,1.050659
131,-0.210938,-0.663208,1.079712
132,-0.275146,-0.046143,1.445923
133,-0.000732,0.104736,1.059937
134,0.171753,0.169434,0.549927
135,0.129395,-0.390625,0.546143
136,-0.023804,-0.539429,0.939087
137,-0.217163,-0.51355,1.041748
138,-0.330566,-0.209595,1.363403
139,0.042114,0.114624,1.021118
140,0.211914,0.184814,0.774048
141,0.174805,-0.230713,0.638794
142,-0.007568,-0.441895,0.894043
143,-0.19519,-0.724365,0.950562
144,-0.353882,-0.063599,1.396973
145,-0.082031,0.074585,0.989746
146,0.195679,0.307739,0.703613
147,0.131958,-0.112183,0.803223
148,0.031616,-0.330933,0.882935
149,-0.131226,-0.582764,1.017944
150,-0.297241,-0.117432,1.369629
151,-0.099731,0.233887,1.160645
152,0.175781,0.172974,0.661133
153,0.18457,-0.054565,0.610107
154,0.001953,-0.424438,0.796509
155,-0.250854,-0.755005,1.093384
156,-0.365479,-0.086914,1.44751
157,0.014038,0.245239,0.902466
158,0.192993,0.266235,0.57251
159,0.205688,-0.18396,0.562012
160,-0.01709,-0.539429,0.914185
161,-0.23999,-0.574219,1.239136
162,-0.27771,0.039795,1.275024
163,-0.028198,0.257446,1.015381
164,0.209473,0.04187,0.504761
165,0.135132,-0.283203,0.567017
166,-0.163452,-0.802979,0.818481
167,-0.286011,-0.278809,1.39856
168,-0.223145,0.044434,1.212036
169,0.143188,0.303711,0.838745
170,0.183716,0.07605,0.621948
171,0.03479,-0.34668,0.691406
172,-0.178223,-0.583252,1.277832
173,-0.275879,-0.230225,1.339233
174,-0.099243,0.160278,1.137573
175,0.127441,0.186279,0.647827
176,0.148804,-0.192383,0.560181
177,0.074463,-0.403809,0.73584
178,-0.183472,-0.445801,1.239502
179,-0.289429,-0.082642,1.473877
180,-0.035645,0.013794,0.896118
181,0.187622,0.149902,0.654419
182,0.101807,-0.341064,0.644531
183,-0.006104,-0.493774,0.903442
184,-0.24585,-0.652588,1.296753
185,-0.258301,-0.111328,1.339111
186,0.002808,0.140381,0.935669
187,0.184937,0.18103,0.599854
188,0.148682,-0.403687,0.548828
189,-0.078857,-0.696777,0.690308
190,-0.318481,-0.536011,1.414062
191,-0.201416,0.014038,1.170654
192,0.048828,0.193115,0.779907
193,0.146606,-0.018921,0.745605
194,0.103882,-0.488892,0.671387
195,-0.09082,-0.525269,1.055542
196,-0.265259,-0.309692,1.229248
197,-0.195557,-0.017456,1.184448
198,0.061035,0.07605,0.719604
199,0.150757,-0.140869,0.458984
200,-0.006714,-0.442139,0.689697
201,-0.115845,-0.345215,1.063843
202,-0.326416,-0.011353,1.540894
203,-0.086548,0.383911,1.006836
204,0.109497,0.097778,0.646729
205,0.060669,-0.129395,0.55188
206,-0.063721,-0.297729,1.00061
207,-0.19873,-0.210938,1.359497
208,-0.309326,0.071167,1.3573
209,-0.01709,0.269897,0.880737
210,0.081543,0.193237,0.482544
211,0.108521,-0.341553,0.526245
212,-0.061523,-0.626465,0.964478
213,-0.269287,-0.288452,1.427612
214,-0.222168,0.266113,1.298828
215,0.02771,0.400269,0.88501
216,0.097168,0.068115,0.593994
217,0.108643,-0.382446,0.768677
218,-0.047852,-0.271729,0.996216
219,-0.287354,-0.248413,1.352905
220,-0.266724,0.274414,1.236572
221,0.050049,0.095825,0.809692
222,0.12793,0.157837,0.668091
223,0.176392,-0.103882,0.48291
224,-0.061157,-0.446289,0.855957
225,-0.265015,-0.332397,1.370972
226,-0.185425,0.157471,1.101807
227,0.019287,0.324341,0.916382
228,0.178345,0.247437,0.654053
229,0.098999,-0.155029,0.688965
230,0.026855,-0.380737,0.934204
231,-0.180298,-0.34436,1.129272
232,-0.320435,0.018433,1.201172
233,-0.099854,0.219727,1.053955
234,0.110474,0.255127,0.79248
235,0.198853,0.076294,0.538452
236,0.009766,-0.243774,0.881592
237,-0.16748,-0.320435,1.253906
238,-0.308228,-0.25293,1.192871
239,-0.138184,0.302612,1.119751
240,0.07605,0.355347,0.74939
241,0.068481,-0.146484,0.81604
242,0.06311,-0.244995,0.839844
243,-0.12207,-0.184692,1.200562
244,-0.287964,-0.067993,1.263306
245,-0.248047,0.059937,1.123657
246,0.110718,0.483398,0.819336
247,0.148682,0.137451,0.664795
248,0.115112,-0.198364,0.651733
249,-0.04248,-0.266479,1.032349
250,-0.22998,-0.137695,1.13147
251,-0.257812,-0.020508,1.116211
252,-0.04248,0.3479,1.171143
253,0.125732,0.240479,0.733765
254,0.089478,-0.140869,0.654297
255,0.015869,0.01062,0.90686
256,-0.185791,-0.33252,1.29187
257,-0.345825,-0.053223,1.354858
258,0.001343,0.376221,1.075195
259,0.0979,0.176025,0.841064
260,0.126221,-0.005981,0.634399
261,-0.043091,-0.339355,0.9021
262,-0.196777,-0.532837,1.129517
263,-0.356689,-0.234985,1.324341
264,-0.0625,0.276367,0.987183
265,0.105713,0.171509,0.693481
266,0.113892,-0.139282,0.6521
267,0.018555,-0.298706,0.915161
268,-0.163086,-0.511475,1.06897
269,-0.326782,-0.292114,1.302612
270,-0.165771,0.180176,1.123169
271,0.187622,0.297607,0.675781
272,0.11853,-0.149536,0.630371
273,0.020996,-0.463867,0.752319
274,-0.125488,-0.41687,1.097046
275,-0.301514,-0.199951,1.293945
276,-0.190918,0.015381,1.078369
277,0.13501,0.287842,0.874512
278,0.150024,0.012695,0.728882
279,0.049438,-0.228149,0.796753
280,-0.025269,-0.265503,1.054199
281,-0.25354,-0.251953,1.45105
282,-0.242676,-0.091919,1.23291
283,-0.015747,0.048096,0.938354
284,0.182861,0.179077,0.619385
285,0.144409,-0.105835,0.563477
286,0.000488,-0.469971,0.877563
287,-0.161011,-0.474487,1.115356
288,-0.279297,-0.17041,1.242188
289,-0.158447,0.236084,1.068359
290,0.157959,0.184814,0.658081
291,0.195801,0.037109,0.512207
292,0.051392,-0.269653,0.858032
293,-0.076172,-0.374878,1.161743
294,-0.25354,-0.157349,1.291626
295,-0.261841,0.127563,1.368164
296,0.031128,0.313232,0.81958
297,0.197388,0.317017,0.750977
298,0.135864,-0.160522,0.649536
299,0.027466,-0.258545,1.000488
