,accel_x,accel_y,accel_z
0,0.669067,-0.279297,-0.736328
1,0.669678,-0.285767,-0.716919
2,0.671875,-0.275879,-0.719727
3,0.668457,-0.274048,-0.710083
4,0.673218,-0.279297,-0.716309
5,0.673584,-0.271484,-0.694092
6,0.670166,-0.289673,-0.747314
7,0.674194,-0.265503,-0.730347
8,0.663696,-0.2948,-0.736206
9,0.670654,-0.28186,-0.713989
10,0.670288,-0.273071,-0.716919
11,0.672485,-0.261963,-0.699219
12,0.673096,-0.274902,-0.694336
13,0.672485,-0.282837,-0.702881
14,0.670044,-0.290039,-0.71875
15,0.671997,-0.279541,-0.719971
16,0.676147,-0.287964,-0.697876
17,0.672607,-0.276367,-0.723022
18,0.672852,-0.288574,-0.689209
19,0.671997,-0.275269,-0.719604
20,0.667725,-0.298584,-0.716675
21,0.674805,-0.27417,-0.703003
22,0.670044,-0.293701,-0.715576
23,0.678223,-0.25,-0.677124
24,0.671265,-0.287842,-0.71875
25,0.669189,-0.302856,-0.718384
26,0.671875,-0.282837,-0.724365
27,0.67334,-0.29834,-0.695679
28,0.668213,-0.298462,-0.721558
29,0.672363,-0.286499,-0.707397
30,0.675781,-0.277954,-0.721069
31,0.669556,-0.296631,-0.711792
32,0.665649,-0.302734,-0.732178
33,0.677979,-0.260742,-0.691406
34,0.675293,-0.276611,-0.706299
35,0.674072,-0.280762,-0.704468
36,0.671509,-0.301514,-0.72644
37,0.672485,-0.291626,-0.712769
38,0.675049,-0.294312,-0.698975
39,0.674072,-0.294434,-0.715698
40,0.673706,-0.302612,-0.714478
41,0.677856,-0.265503,-0.698975
42,0.675415,-0.288208,-0.702148
43,0.67627,-0.267456,-0.723389
44,0.67334,-0.288208,-0.711548
45,0.673218,-0.283447,-0.729492
46,0.676025,-0.286865,-0.704712
47,0.671021,-0.285278,-0.7229
48,0.668457,-0.303833,-0.711304
49,0.67395,-0.288086,-0.698364
50,0.673218,-0.288452,-0.721313
51,0.676025,-0.283203,-0.682617
52,0.670044,-0.291992,-0.705078
53,0.672485,-0.289185,-0.705933
54,0.67041,-0.28772,-0.712402
55,0.674927,-0.291138,-0.687744
56,0.672729,-0.289795,-0.714233
57,0.668945,-0.311035,-0.702881
58,0.668945,-0.291382,-0.704102
59,0.666504,-0.3125,-0.721191
60,0.670044,-0.297607,-0.695435
61,0.666382,-0.32312,-0.723022
62,0.669434,-0.294922,-0.70752
63,0.667847,-0.300415,-0.711548
64,0.669067,-0.29541,-0.717651
65,0.670532,-0.304565,-0.694336
66,0.668091,-0.308228,-0.717651
67,0.672852,-0.299561,-0.692871
68,0.674561,-0.281128,-0.691528
69,0.671509,-0.277222,-0.690308
70,0.66748,-0.301147,-0.706421
71,0.667847,-0.309448,-0.70166
72,0.663818,-0.310303,-0.743896
73,0.672607,-0.288208,-0.696289
74,0.667603,-0.302246,-0.713257
75,0.668213,-0.290405,-0.701294
76,0.669067,-0.309814,-0.705811
77,0.668091,-0.287598,-0.695557
78,0.669434,-0.300903,-0.699707
79,0.665527,-0.327393,-0.713379
80,0.670898,-0.320801,-0.686523
81,0.668945,-0.296997,-0.702393
82,0.665161,-0.309692,-0.705811
83,0.668335,-0.290161,-0.703125
84,0.666748,-0.289917,-0.702759
85,0.666504,-0.306396,-0.714844
86,0.664795,-0.31543,-0.714233
87,0.669556,-0.309814,-0.689941
88,0.670166,-0.286011,-0.699951
89,0.66687,-0.306519,-0.709473
90,0.672119,-0.294922,-0.681641
91,0.669312,-0.295654,-0.719727
92,0.66748,-0.302734,-0.713013
93,0.669556,-0.301147,-0.702881
94,0.667603,-0.307495,-0.70166
95,0.664917,-0.320557,-0.705933
96,0.66333,-0.305664,-0.71106
97,0.667969,-0.324829,-0.704468
98,0.668823,-0.318115,-0.688354
99,0.665283,-0.30481,-0.697144
100,0.665649,-0.305298,-0.689331
101,0.668213,-0.309204,-0.672607
102,0.662476,-0.329346,-0.71167
103,0.666382,-0.319214,-0.70752
104,0.665649,-0.330078,-0.696777
105,0.666626,-0.298828,-0.694824
106,0.661133,-0.326904,-0.712402
107,0.661377,-0.318115,-0.725708
108,0.6604,-0.321411,-0.706909
109,0.664062,-0.297852,-0.725464
110,0.664551,-0.323853,-0.684082
111,0.661865,-0.31189,-0.71875
112,0.661011,-0.330811,-0.715088
113,0.658813,-0.317505,-0.707642
114,0.664307,-0.331177,-0.665161
115,0.658936,-0.323853,-0.721802
116,0.661377,-0.328979,-0.69751
117,0.669189,-0.292236,-0.671021
118,0.6604,-0.326538,-0.684692
119,0.659912,-0.330078,-0.707397
120,0.662109,-0.313232,-0.712769
121,0.656006,-0.336426,-0.729126
122,0.655518,-0.327148,-0.711914
123,0.662598,-0.338135,-0.683716
124,0.655762,-0.329712,-0.724609
125,0.657593,-0.324463,-0.710083
