,accel_x,accel_y,accel_z
0,-0.065796,0.950317,0.158081
1,-0.210327,1.406006,0.16687
2,-0.131714,1.114746,0.129761
3,0.053467,1.040405,0.037231
4,0.215088,0.889893,-0.230225
5,0.316406,0.911987,-0.227905
6,0.367676,0.53186,-0.212769
7,0.291504,0.663452,-0.316772
8,0.175903,0.96936,-0.193359
9,0.074829,1.031616,-0.025269
10,-0.047363,1.135986,0.175293
11,-0.167603,1.252319,0.251221
12,0.018066,0.996338,0.042236
13,0.197266,0.895142,-0.145874
14,0.315308,0.875854,-0.157837
15,0.293335,0.584717,-0.228149
16,0.245483,0.884888,-0.037842
17,0.131592,1.063477,-0.204468
18,0.114624,0.921509,0.098022
19,-0.001343,1.130493,0.057861
20,-0.02771,1.240601,0.115967
21,0.118042,1.012329,-0.050903
22,0.217285,0.949951,-0.15918
23,0.298462,0.822388,-0.140869
24,0.325439,0.641602,-0.311157
25,0.276367,0.927856,-0.178223
26,0.238647,0.925537,-0.151001
27,0.128906,1.006226,0.024536
28,0.062866,0.865845,0.067993
29,-0.083008,1.34021,0.042236
30,0.046021,1.097534,0.013672
31,0.161499,0.89917,-0.196655
32,0.278442,0.919434,-0.113647
33,0.353027,0.869141,-0.206787
34,0.368286,0.621094,-0.235229
35,0.32312,0.848511,-0.187378
36,0.234985,0.929932,-0.08252
37,0.103638,0.938965,-0.02063
38,-0.028809,1.153809,0.168579
39,-0.068481,1.188843,0.087402
40,0.066528,1.036987,-0.078613
41,0.183228,0.911621,-0.077393
42,0.30188,0.811646,-0.129028
43,0.339355,0.77002,-0.230835
44,0.366211,0.625977,-0.137695
45,0.281738,0.992798,-0.057373
46,0.117798,0.991577,-0.102295
47,-0.010132,0.980591,0.005981
48,-0.151001,1.311768,0.119507
49,-0.037842,1.087891,0.078125
50,0.112183,0.947144,-0.084473
