,accel_x,accel_y,accel_z
0,0.084961,0.201416,-0.785645
1,0.218384,-0.178589,-0.453369
2,-0.048828,0.250488,-0.942993
3,-0.199951,0.706543,-1.017578
4,-0.495605,0.713867,-1.298828
5,-0.130371,0.302246,-0.820068
6,0.114868,0.150757,-0.751709
7,0.233398,-0.098633,-0.49707
8,-0.039917,0.322388,-0.905151
9,-0.194458,0.522339,-0.762451
10,-0.404297,0.68689,-1.137085
11,-0.17334,0.386841,-0.924561
12,0.03833,0.177856,-0.814575
13,0.17981,0.069214,-0.796021
14,0.137085,0.070312,-0.817627
15,-0.095337,0.293823,-1.039429
16,-0.297852,0.693726,-1.046997
17,-0.452393,0.672241,-1.14502
18,-0.169067,0.432251,-0.86499
19,0.03064,0.171265,-0.869873
20,0.204834,-0.052002,-0.50354
21,0.020874,0.26062,-0.892334
22,-0.188477,0.464966,-1.026367
23,-0.434448,0.708008,-1.142944
24,-0.276001,0.507568,-0.951416
25,0.02063,0.275024,-0.796753
26,0.139771,0.083862,-0.809082
27,0.134644,0.060791,-0.708374
28,-0.059814,0.483032,-0.851562
29,-0.363525,0.743774,-1.030884
30,-0.497803,0.772095,-1.21875
31,-0.03479,0.295532,-0.670044
32,0.085449,0.154907,-0.883057
33,0.208496,-0.01123,-0.681152
34,0.007935,0.338013,-0.860107
35,-0.213745,0.540405,-0.962524
36,-0.505493,0.750366,-1.288208
37,-0.186523,0.442993,-0.875488
38,0.031738,0.207031,-0.828491
39,0.184326,0.084351,-0.753418
40,0.086182,0.118408,-0.736084
41,-0.144287,0.519043,-0.966919
42,-0.52124,0.894531,-1.302979
43,-0.294678,0.602661,-1.008667
44,-0.019531,0.222534,-0.861084
45,0.104858,0.137207,-0.856323
46,0.129761,0.050293,-0.705444
47,-0.07605,0.494751,-1.003174
48,-0.303223,0.548584,-1.032959
49,-0.456421,0.663574,-1.215454
50,-0.125977,0.395874,-0.839722
51,0.043457,0.177002,-0.938965
52,0.205811,-0.106445,-0.578491
53,0.014282,0.206543,-0.89502
54,-0.269043,0.413574,-1.200684
55,-0.488892,0.691895,-1.282227
56,-0.261841,0.511597,-0.963013
57,-0.027588,0.161987,-0.893555
58,0.106445,0.103394,-0.888062
59,0.164185,0.070801,-0.72522
60,0.039795,0.297729,-0.730713
