,accel_x,accel_y,accel_z
0,0.021973,0.098267,0.949951
1,0.012817,0.141479,0.898926
2,0.004761,0.111084,1.031006
3,-0.02002,0.105713,0.965942
4,0.009766,0.151245,1.000488
5,0.028564,0.04126,0.94397
6,-0.000122,0.128662,0.984619
7,0.012451,0.078613,0.952637
8,0.00293,0.0979,0.9729
9,0.006104,0.093872,0.973633
10,0.005493,0.067139,1.004883
11,0.012817,0.074341,0.987427
12,-0.003418,0.160034,0.982056
13,-0.002686,0.118042,0.929688
14,0.00061,0.091309,1.008057
15,-0.013306,0.077881,0.979004
16,0.006104,0.101685,0.984131
17,-0.010132,0.096558,0.961914
18,-0.001587,0.047607,0.979736
19,0.006104,0.053589,0.982788
20,-0.00647,0.076416,0.949463
21,0.015991,0.097656,0.979248
22,0.008667,0.06543,0.987671
23,0.009399,0.089355,1.006714
24,0.001709,0.115234,0.968262
25,0.009888,0.102905,0.95813
26,0.009399,0.079834,0.971191
27,0.013306,0.119019,0.967773
28,0.000244,0.102783,0.967041
29,0.010376,0.089966,0.973755
30,0.026123,0.074219,0.964722
31,0.001709,0.091919,0.97168
32,0.003784,0.071899,0.955444
33,0.02771,0.09082,0.98999
34,0.002441,0.078979,0.988892
35,0.009277,0.050781,0.999023
36,0.029053,0.067505,0.96521
37,0.005981,0.07019,0.988525
38,0.003174,0.116699,0.959839
39,0.014404,0.037476,0.962891
40,0.003662,0.08606,0.980225
41,0.013672,0.09021,0.974976
42,-0.002075,0.063599,0.988525
43,0.011353,0.06897,0.975098
44,0.004761,0.073975,0.985474
45,0.032349,0.052856,0.97644
46,0.018677,0.048462,0.992065
47,0.023682,0.071167,0.991699
48,0.014893,0.095093,0.946411
49,0.006348,0.078247,0.928711
50,0.020996,0.078125,0.982056
51,0.015015,0.065308,0.962524
52,0.024536,0.067749,0.958252
53,0.006958,0.091064,0.949951
54,0.023315,0.057373,1.010376
55,0.022217,0.054688,0.945312
56,0.001221,0.068237,0.950317
57,0.025635,0.037598,0.980713
58,0.018311,0.056152,0.980591
59,0.018188,0.071777,0.959351
60,0.016479,0.080688,0.968872
61,0.024414,0.067139,0.965332
62,0.018799,0.067993,1.00061
63,0.034302,0.064819,0.971802
64,0.010742,0.060791,0.983765
65,0.022217,0.089722,0.981445
66,0.034912,0.079956,0.988037
67,0.013062,0.084961,0.988647
68,0.030151,0.079224,0.937622
69,0.010986,0.099365,0.97644
70,0.017944,0.079468,0.966675
71,0.018921,0.03479,1.053101
72,0.035522,0.073608,0.980713
73,0.026489,0.072754,0.932007
74,0.015625,0.080566,0.962891
75,0.013794,0.065552,1.026978
76,0.019287,0.035034,0.965332
77,0.019531,0.067749,0.949097
78,0.001587,0.059814,1.012817
79,0.018433,0.062744,0.996826
80,0.031494,0.062866,1.029297
81,0.01355,0.060181,0.995117
82,0.012207,0.078247,0.946045
83,0.022095,0.076294,1.000122
84,0.023315,0.061646,0.978516
85,0.030029,0.071899,0.970703
86,0.02771,0.079224,0.981934
87,0.031738,0.054321,0.982666
88,0.013794,0.062744,0.99231
89,0.016479,0.082275,0.981201
90,0.015991,0.084106,0.967285
91,0.034058,0.033325,0.986816
92,0.026733,0.051758,0.968384
93,0.012695,0.091553,0.963013
94,0.025879,0.058105,0.969238
95,0.031006,0.086792,0.974243
96,0.018311,0.07666,0.983032
97,0.026123,0.099243,0.941406
98,0.017944,0.076904,0.98938
99,0.032959,0.065063,1.010254
100,0.024292,0.061279,0.972168
101,0.011719,0.080322,0.998413
102,0.014282,0.0625,0.983765
103,0.031372,0.044312,1.009644
104,0.014893,0.091919,0.98938
105,0.02002,0.091675,0.993652
106,0.025024,0.101196,0.963623
107,0.02832,0.062378,1.001099
108,0.020752,0.105469,0.954712
109,0.00708,0.057739,0.991333
110,0.034912,0.061523,0.979004
111,0.014038,0.086182,0.961548
112,0.012817,0.079224,0.976318
113,0.029175,0.0979,0.948975
114,0.008423,0.089844,0.939209
115,0.017334,0.099731,0.94165
116,0.012817,0.079834,0.960693
117,0.025391,0.088745,0.968262
118,0.031982,0.041992,1.025513
119,0.023315,0.068604,0.955811
120,0.020142,0.071289,0.982422
121,0.006104,0.0802,0.985229
122,0.027222,0.070435,0.963623
123,0.018799,0.090332,0.983643
124,0.023682,0.054443,0.97229
125,0.009399,0.049683,0.943848
126,0.015991,0.044189,1.021118
127,0.018921,0.077393,0.988647
128,0.01123,0.083984,0.986694
129,0.023315,0.066528,0.978516
130,0.00061,0.115601,0.957153
131,0.000122,0.064941,1.055054
132,0.023926,0.100464,0.983032
133,0.007446,0.096924,0.982178
134,0.028931,0.090332,0.966187
135,0.015991,0.072876,0.984741
136,0.029541,0.074707,0.966431
137,0.011353,0.06604,0.960205
138,0.025879,0.085693,0.981567
139,0.024048,0.078247,1.011841
140,0.024902,0.12146,0.987183
141,0.030518,0.093262,1.014771
142,0.012207,0.110229,0.983765
143,0.018921,0.075195,0.995483
144,0.0354,0.116089,0.984009
145,0.021729,0.079834,0.982056
146,0.033813,0.099487,0.96936
147,0.00769,0.079224,0.954712
148,0.02002,0.080688,1.005005
149,0.019897,0.069092,0.985962
150,0.004517,0.078857,0.991699
151,0.0177,0.095337,0.962402
152,0.008423,0.065552,0.988892
153,0.030151,0.0896,1.00061
154,0.022217,0.069824,0.914673
155,0.018188,0.092773,1.045654
156,0.016602,0.074097,0.998413
157,0.027344,0.103882,0.989258
158,0.015137,0.113892,1.002808
159,0.02063,0.077515,0.997314
160,0.026855,0.078125,0.969116
161,0.017578,0.066895,1.000366
162,0.027588,0.116333,0.954956
163,0.013428,0.068604,0.952515
164,0.015137,0.087402,0.969971
165,0.007568,0.059937,1.011597
166,0.024536,0.088501,1.006592
167,0.011719,0.100342,0.987427
168,0.01062,0.076172,0.957642
169,0.013916,0.106201,0.972656
170,0.020874,0.078735,0.923706
171,0.023926,0.055786,0.998535
172,0.018188,0.110107,0.986572
173,0.025024,0.090942,1.008301
174,0.015259,0.125366,0.98291
175,0.029297,0.08667,0.994751
176,0.031128,0.12793,0.953979
177,0.019287,0.092163,0.969482
178,0.014771,0.084106,0.953003
179,0.016479,0.120239,0.998413
180,0.035278,0.109741,0.977417
181,0.022583,0.067749,0.999878
182,0.001709,0.083496,0.937134
183,0.015381,0.114014,0.936401
184,0.016113,0.116455,0.96936
185,0.016357,0.101929,1.000732
186,0.02063,0.079956,1.002319
187,0.009399,0.053711,0.98877
188,0.008423,0.087158,0.97937
189,0.020264,0.103882,0.978271
190,0.012817,0.07605,0.96167
191,0.012817,0.070068,0.944092
192,0.027222,0.097778,0.979004
193,0.008057,0.087524,1.010864
194,0.032227,0.124023,0.942383
